STATENAM,YEAR,sum(AWHEAT),sum(ARICE),sum(AMAIZE),sum(AJOWAR),sum(ABAJRA),sum(ASUGAR),sum(APOTATO),sum(AGNUT),sum(ABARLEY),sum(ATOBAC),sum(AGRAM),sum(ATUR),sum(ARAGI),sum(ASESAMUM),sum(ARMSEED),sum(ACOTTON),sum(AOPULS),sum(ASOY),sum(ASUNFLWR),sum(AJUTE)
GUJARAT,1966,427.1,507,261.1,1388.3,1775.7,27.9,0,1956.1,3.6,90.8,31.25,316.667,0,159.7,35.9,1731.3,94.2,0,0,0
TAMIL_NADU,1966,0,2688.8,7.9,743.3,414.6,89.83,0,993.84,0,11.23,1.86,122.249,0,137.85,0,313.12,431.75,0,0,0
PUNJAB,1966,1624.083,279.952,414,5.675,183.804,144.563,11.9,172.402,103,0.287,612,31.834,0,17.143,114.283,429.158,45.09,0,0,0
RAJASTHAN,1966,966,77,740,1134,5015,32,0,199,439,6,1117,23.41,0,728,251,250,25,0,0,0
WEST_BENGAL,1966,55.4052639,4646.59803,49.1,0,0,29.5279354,75.4121469,0,53.481781,16.2,200.931172,0,0,0,107.4372468,0,0,0,0,423.423
MADHYA_PRADESH,1967,2658.3,4168.1,590.9,2505.5,284.2,37.27,28.759,403.94,146.964,3.27,1503.8,486.501,0,430.5,0,767.43,1216.34,0,0,0
RAJASTHAN,1967,1212,95,746,1169,4891,20,0,281,651,6.5,1323,23.41,0,666,198,256,18,0,0,0
BIHAR,1967,1055.293,5146.688,984.999,0,0,117.412,94.954,5.206,358.904,13.529,332.298,186.152,206.144,32.326,79.144,0,0,0,0,157.858
MAHARASHTRA,1967,828,1337,41.5,6013.2,2026.6,158.2,0,919,209.6,13,343.8,758.134,0,179.1,0,2707.7,604.8,0,0,0
TAMIL_NADU,1967,0,2659.6,10.2,704.9,430.3,106.97,0,1066.17,0,14.52,3.36,122.249,0,114.97,0,293.84,444.96,0,0,0
ORISSA,1967,14.517,4336.5,66.111,9.385,1.944,36.372,31.205,65.981,0,11.079,19.894,38.933,139.94,103.365,65.779,0.403,0,0,0,52.165
WEST_BENGAL,1967,78.5631578,4716.91862,51.4,0,0,26.7963564,78.5805679,0,52.1052638,11.6,167.6113368,0,0,0,112.3400797,0,0,0,0,495.983
HARYANA,1967,829.569,216.083,145,256.644,826.85,120.661,5.9,28.3,293,1.07,1078,27.914,0,2.208,239,224.537,90.86,0,0,0
GUJARAT,1967,553.8,508.6,267.4,1342.7,1867,28.2,0,1942,8.6,94.4,69.3,316.667,0,140.6,39.4,1639.7,99,0,0,0
KARNATAKA,1967,309.3,1115.8,51.4,2599.5,499.1,92.97,0,966.49,0,34.54,165.38,401.276,0,0,0,941.38,282.81,0,0,0
UTTAR_PRADESH,1967,4712.688281,4182.843039,1446.365283,902.440083,1063.212488,996.9691865,152.8085158,427.7504496,1570.896105,0,2263.326742,516.353,0,90.8592223,225.476533,0,1248.608632,0,0,15.989
ANDHRA_PRADESH,1967,13.7,3022.4,225.9,2474.3,587.3,100.2,0,1359.78,0,194.28,82.41,237.366,0,215.14,0,321.84,1241.44,0,0,0
PUNJAB,1967,1802.464,308.766,442,5.505,209.042,125.822,11.063,208.5,148,0.182,548,31.834,0,12.686,142.378,418.902,53.49,0,0,0
HARYANA,1968,888.723,226.891,115,181.635,819.49,153.557,5.6,29.2,157.7,0.934,629,27.914,0,1.807,63.2,198.137,47.18,0,0,0
KARNATAKA,1968,325.7,1128.3,75.1,2542.3,545.2,106.01,0,933.21,0,35.94,175.56,401.276,0,0,0,947.76,285.38,0,0,0
ANDHRA_PRADESH,1968,14.2,2513.9,236,2739.3,586.4,126.72,0,1223.68,0,216.24,82.49,237.366,0,211.82,0,288.06,1377.75,0,0,0
WEST_BENGAL,1968,108.14,4837,45.3,0,0,31.03,70.84,0,63.5,13.7,165.7,0,0,0,118.36,0,0,0,0,268.7
