STATENAM,YEAR,PJOWAR,PMAIZE,PWHEAT,PSUGAR,PPOTATO,PGNUT,PRICE,PBAJRA,PTUR,PRAGI,PTOBAC,PBARLEY,PGRAM,PSESAMUM,PRMSEED,PCOTTON,POPULS,PSOY,PSUNFLWR,PJUTE
ORISSA,1958,31.98307692,30.91615385,50.6376923,49.10769231,21.68030769,43.36307692,41.78692308,35.35230769,43.539,34.77753846,226.6761538,0,44.77538462,73.58538462,59.62307692,69.90461538,43.539,0,0,80.38
MAHARASHTRA,1958,34.124,32.124,62.504,48.968,41.367485,49.704,40.308,38.764,46.38,38.764,220.570284,38.7,46.38,74.008,95.11307,90.032,67.544,0,0,0
RAJASTHAN,1959,13.20384615,13.7,17.5653846,52.00304115,29.069767,59.93668677,26.73076923,14.40769231,36.07701373,14.40769231,229.4873181,34.74048465,36.07701373,87.49783604,76.95192888,109.43464,29.69835823,0,0,0
HARYANA,1959,29.84666667,30.09616667,40.055,43.42473783,20.06432567,43.83760667,29.66666667,34.85333333,34.93266667,34.85333333,147.5255,31.27566667,34.93266667,77.5015,64.74833333,75.51529167,34.93266667,0,0,0
MADHYA_PRADESH,1959,31.86976744,23.42093023,36.7697674,55.87581395,52.164825,39.0572093,36.2744186,35.28604651,31.2055814,35.28604651,349.8246512,25.559961,31.2055814,66.91627907,59.07727,101.4802326,40.50066977,0,0,0
BIHAR,1959,0,30.82070588,50.4776471,48.30176471,19.53005882,39.2,45.64647059,0,39.73635294,28.13370588,255.0177647,31.86935294,37.79247059,71.34035294,68.93723529,0,39.73635294,0,0,34.88647059
UTTAR_PRADESH,1959,29.29583333,31.455875,42.339375,41.298125,14.70122917,42.49827083,28.70708333,34.99041667,33.11152083,34.99041667,123.29868,30.931875,33.11152083,69.95445833,64.66466667,77.56403,33.11152083,0,0,44.79729167
WEST_BENGAL,1959,0,29.56763,42.64075,53.022768,24.085996,0,60.67935,0,0,0,209.22044,33.10351,38.334704,0,73.697504,0,0,0,0,54.27866667
ANDHRA_PRADESH,1959,36.88947368,37.08947368,60.3,45.95,29.069767,49.6,58.72105263,33.97894737,43.94789474,33.97894737,213.6015789,25.559961,43.94789474,82.60736842,59.07727,89.60684211,41.28505458,0,0,0
GUJARAT,1959,39.47222222,38.87777778,55.5666667,59.36666667,22.21091,84.58333333,44.06666667,38.41666667,42.79444444,38.41666667,134.6944444,30.01666667,42.79444444,68.37777778,59.63888889,58.80555556,74.75555556,0,0,0
