STATENAM,YEAR,sum(QWHEAT),sum(QRICE),sum(QMAIZE),sum(QJOWAR),sum(QBAJRA),sum(QSUGAR),sum(QPOTATO),sum(QGNUT),sum(QBARLEY),sum(QTOBAC),sum(QGRAM),sum(QTUR),sum(QRAGI),sum(QSESAMUM),sum(QRMSEED),sum(QCOTTON),sum(QOPULS),sum(QSOY),sum(QSUNFLWR),sum(QJUTE)
UTTAR_PRADESH,1974,6766.003,3285.6979999999994,827.623,393.0570000000001,491.89000000000004,6546.5187000000005,2110.876,351.2729999999999,1273.4429999999998,0.0,999.5459999999999,762.109,0.0,26.0552752,217.51372569999998,0.0,488.0999999999999,0.0,0.0,13.617899999999997
KARNATAKA,1974,259.30000000000007,1871,250.7,1759.3000000000004,270,957.6700000000001,0.0,734.8400000000001,0.0,19.78,74.86999999999999,181.318,0.0,0.0,0.0,156.88999999999996,168.39,0.0,0.0,0.0
MAHARASHTRA,1974,754.2,1462.2999999999997,38.699999999999996,3666.9,591.9000000000001,2032.7,0.0,589.5,176.60000000000002,5,143.6,436.29999999999995,0.0,39,0.0,286.3,377.2,0.0,0.0,0.0
WEST_BENGAL,1975,511.01500000000004,6471.745000000001,60.04500000000001,0.0,0.0,124.92030000000001,1292.672,0.0,40.90299999999999,10.517999999999997,79.06299999999999,0.0,0.0,0.0,39.39070000000001,0.0,0.0,0.0,0.0,449.99513999999994
ANDHRA_PRADESH,1975,21.700000000000003,5595.2,496.19999999999993,1016.3,349.99999999999994,927.7800000000002,0.0,1114.2,0.0,110.81000000000002,35.669999999999995,67.234,0.0,22.25,0.0,40.61,376.53,0.0,0.0,0.0
RAJASTHAN,1975,2288.1,222.29999999999998,782.2,186.80000000000004,1124.8999999999999,152.55999999999997,0.0,172.29999999999998,1003.0999999999999,3.9000000000000004,1496.1000000000001,7.410999999999999,0.0,64.69999999999999,127.1,72.5,24.6,0.0,0.0,0.0
MADHYA_PRADESH,1975,2747.9999999999995,3832.2999999999997,734.0999999999998,1345.4,119.39999999999996,246.50000000000003,337.668,406.69999999999993,138.63099999999997,1.4500000000000002,1225.2,417.363,0.0,53.1,0.0,45.92,758.3999999999999,0.0,0.0,0.0
GUJARAT,1975,982.5000000000001,596.6999999999999,553.4999999999999,609.5000000000001,1282.1000000000001,230.29999999999998,0.0,2190.4,53,142.2,56.1,206.86499999999998,0.0,47.6,39,316.6,48.099999999999994,0.0,0.0,0.0
TAMIL_NADU,1975,0.6,5202.9000000000015,26.5,715.7,329.40000000000003,1312.1000000000001,0.0,1053.2,0.0,18.800000000000004,4.499999999999999,77.932,0.0,31,0.0,43.06,123.2,0.0,0.0,0.0
UTTAR_PRADESH,1975,7807.843000000001,3285.6979999999994,970.4869999999996,444.97900000000004,727.7049999999998,6546.5187000000005,2608.5970000000007,351.2729999999999,1335.4240000000002,0.0,1232.7590000000002,762.109,0.0,8.011,172.459,0.0,488.0999999999999,0.0,0.0,8.458739999999999
ORISSA,1975,107.437,4531.7699999999995,116.819,15.625,2.67,297.38,60.1,134.654,0.0,11.027000000000001,14.939,31.427000000000003,172.74699999999999,50.49100000000001,44.718,3.9859999999999998,0.0,0.0,0.0,52.285680000000006
HARYANA,1975,2353.669,587.126,210,28.808999999999997,504.00000000000006,670.854,225.29999999999998,21.624000000000002,205,0.663,798,27.958,0.0,2.655,51.001,70.992,28.933999999999997,0.0,0.0,0.0
KARNATAKA,1975,277.9,2164.2000000000003,378.09999999999997,1570.2,281.6000000000001,1023.25,0.0,657.2000000000002,0.0,21.13,80.13999999999999,181.318,0.0,48.300000000000004,0.0,85.89999999999998,1510.38,0.0,0.0,0.0
BIHAR,1975,2300.0399999999995,4836.865999999999,786.4280000000002,0.0,0.0,490.65400000000005,1404.1170000000002,6.309,108.45399999999998,11.711,134.76500000000001,74.79199999999999,71.981,7.443000000000001,54.68999999999999,0.0,0.0,0.0,0.0,100.53107999999999
PUNJAB,1975,5682,1435,765,2.2,147.846,545,432.8,165.07,116.02600000000001,0.171,283,34.733000000000004,0.0,6.98,63,197.8902,20.583,0.0,0.0,0.0
MAHARASHTRA,1975,1199.1,2281.7999999999997,86.3,3466.2000000000003,559.9999999999999,2207.7999999999997,0.0,692.5,188.10000000000002,4.9,180.5,436.29999999999995,0.0,31.400000000000006,0.0,138.99999999999997,407.80000000000007,0.0,0.0,0.0
UTTAR_PRADESH,1976,8545.4,4132.11,1046.6000000000001,491.79999999999984,769.7,6294.012600000004,2235.7099999999996,232.704,1134.5320000000002,11.917999999999996,1334.0479999999995,762.109,0.0,4.673,114.48400000000002,2.136,515.0000031999998,0.0,0.0,12.651660000000003
BIHAR,1976,2409,4752.799999999999,738,0.0,0.0,419.2,1348,6.443,100,12.976999999999999,141,62.006,96.067,6.903999999999999,47.399000000000015,0.0,0.0,0.0,0.0,101.91042
ORISSA,1976,98.36500000000001,3217.7199999999993,103.12800000000001,18.942999999999994,2.788,276.98,46.209999999999994,118.99000000000002,0.0,6.873,12.255,17.615999999999996,138.328,43.480000000000004,26.19,4.984,0.0,0.0,0.0,72.80496000000002
HARYANA,1976,2517.8999999999996,785,121,31.7,481,474,103.19999999999999,10.3,104,0.0,454,27.958,0.0,1.1,42,40.63,23.5000001,0.0,0.0,0.0
ANDHRA_PRADESH,1976,13.8,4389.400000000001,301.09999999999997,1030.7,237.1,949.0100000000001,0.0,576.14,0.0,109.69,24.119999999999997,67.234,0.0,19.059999999999995,0.0,44.3,323.75000000000006,0.0,0.0,0.0
KARNATAKA,1976,188.39999999999998,1475.7,331,1194.4999999999995,229.19999999999996,958.44,0.0,346.9,0.0,26.710000000000004,66.18000000000004,181.318,0.0,24.160000000000004,0.0,92.05000000000001,369.34999999999997,0.0,0.0,0.0
GUJARAT,1976,863,564.9,236.6,643.2,1131.3999999999999,517,0.0,2074.4,41.5,207.5,53.50000000000001,206.86499999999998,0.0,32.800000000000004,92.6,317,94.3,0.0,0.0,0.0
MADHYA_PRADESH,1976,2334.7000000000007,2786.6,736.3000000000001,1278.5000000000002,122.8,227.79999999999998,337.668,324.6,138.63099999999997,1.7000000000000002,1047.5000000000002,417.363,0.0,37.699999999999996,0.0,47.169999999999995,549,0.0,0.0,0.0
MAHARASHTRA,1976,912.6999999999999,1990.4,112.8,4630.400000000001,657.6,2444.6,0.0,582.8,169.2,7.3,131.7,436.29999999999995,0.0,30.999999999999996,0.0,150.8,294,0.0,0.0,0.0
WEST_BENGAL,1976,533.6354,5607.965,55.72100000000001,0.0,0.0,115.3929,1376.746,0.0,26.193,14.937999999999999,68.286,0.0,0.0,0.0,25.386699999999998,0.0,0.0,0.0,0.0,581.8460400000001
TAMIL_NADU,1976,0.0,4214.6,20.5,793.8000000000001,460.5,1636.2,0.0,785.0999999999999,0.0,26.900000000000002,6.899999999999999,77.932,0.0,38.900000000000006,0.0,59.08999999999999,172.00000000000003,0.0,0.0,0.0
PUNJAB,1976,6150,1727,594,3.6199999999999997,401,533,557,140,59,0.1,241,34.733000000000004,0.0,6.699999999999999,33,131.23999999999998,40.9999988,0.0,0.0,0.0
RAJASTHAN,1976,2295.1000000000004,213,580,357.9,1321.1999999999998,198.92,0.0,156.59999999999997,689.6,5.3999999999999995,1364.6999999999998,7.410999999999999,0.0,59.300000000000004,101.69999999999999,62.6,17.200000000000003,0.0,0.0,0.0
GUJARAT,1977,961.9,723.8,134,558.4000000000001,967.4,676.2,0.0,1859.3999999999996,42.699999999999996,191.7,42.4,206.86499999999998,0.0,25.3,104.89999999999999,366.50000000000006,60.599999999999994,0.0,0.0,0.0
ORISSA,1977,127.59800000000001,4319.22,114.097,23.163,3.109,260,47.77,144.719,0.0,7.1110000000000015,16.589000000000002,30.504,185.648,64.753,48.364,6.676,0.0,0.0,0.0,75.66300000000003
ANDHRA_PRADESH,1977,11.9,4699.8,472.2000000000001,1427.3000000000002,377.59999999999997,1175.1200000000001,0.0,1017.59,0.0,242.14999999999998,21.000000000000004,67.234,0.0,25.02999999999999,0.0,36.900000000000006,306.1099999999999,0.0,0.0,0.0
TAMIL_NADU,1977,0.6,5705.5,19.200000000000003,719.2,382.59999999999997,1651.4999999999998,0.0,1149.8999999999999,0.0,16.699999999999996,3.5000000000000004,77.932,0.0,54.9,0.0,91.58999999999999,187.29999999999998,0.0,0.0,0.0
PUNJAB,1977,6505,2435,647,3.25,119,560,674,132,49,0.1,255,34.733000000000004,0.0,3.1,57,143.99,40.9999988,0.0,0.0,0.0
RAJASTHAN,1977,2608.4,235.8,515.8000000000001,279.1000000000001,803.8,282.53999999999996,0.0,173.99999999999997,660,2.8,1489.7999999999997,7.410999999999999,0.0,49.90000000000001,160.20000000000002,81.50000000000003,10.400000000000002,0.0,0.0,0.0
MADHYA_PRADESH,1977,3100.2000000000003,4406.400000000001,571.3,1457.2,92.39999999999996,168.80000000000004,337.668,247,138.63099999999997,1.4400000000000004,906.7,417.363,0.0,42.29999999999999,0.0,50.65,667.6000000000001,0.0,0.0,0.0
HARYANA,1977,2629,921,92,18,217.9,585,104.3,9.3,104,0.0,456,27.958,0.0,1.1,57,39.269999999999996,23.5000001,0.0,0.0,0.0
MAHARASHTRA,1977,979.9,2351.4,87.5,5079.900000000001,605.7,2742.2,0.0,580.9,161,7.3,131.1,436.29999999999995,0.0,40.900000000000006,0.0,221.40000000000003,331.80000000000007,0.0,0.0,0.0
BIHAR,1977,2503,5496.2,950,0.0,0.0,522.5,1341,6.443,88,12.211999999999998,122,62.006,119.132,5.118,47.399000000000015,0.0,0.0,0.0,0.0,139.671
KARNATAKA,1977,234.49999999999994,2321.1,413.20000000000005,1624.5000000000002,309.1000000000001,1238.12,0.0,550.0999999999999,0.0,35.37,65.72999999999999,181.318,0.0,50.34,0.0,75.14999999999999,560.03,0.0,0.0,0.0
WEST_BENGAL,1977,519.7745999999999,7230.09,50.977999999999994,0.0,0.0,134.6764,1603.718,0.0,32.528999999999996,14.288000000000002,79.151,0.0,0.0,0.0,42.896499999999996,0.0,0.0,0.0,0.0,539.442
UTTAR_PRADESH,1977,9301.400000000001,4864.700000000001,906.1,528.3999999999999,647.0999999999999,7410.141199999999,2945.771000000001,243.98700000000002,1302.8349999999998,10.613999999999997,1203.4879999999994,762.109,0.0,7.132999999999997,163.08,2.1660000000000004,464.0000049999998,0.0,0.0,12.87936
HARYANA,1978,3114.1,1154,69,24,303,474,167.20000000000002,10.600000000000001,119,0.0,496,27.958,0.0,0.6000000000000001,55,51.34,23.5000001,0.0,0.0,0.0
RAJASTHAN,1978,2872.6,233.4,783.9000000000002,323.99999999999994,1148.3,219.22000000000003,0.0,237.99999999999994,547.6,2.5,1637.2000000000003,7.410999999999999,0.0,75.2,204.20000000000002,102.59999999999998,14.099999999999998,0.0,0.0,0.0
UTTAR_PRADESH,1978,10780.299999999997,5719.5,756.9,502.4000000000001,576.7,6037.446799999998,4205.734,180.6470000000001,954.999,10.023999999999997,1208.6979999999999,762.109,0.0,4.823,161.215,2.527,461.99999299999996,0.0,0.0,17.256960000000003
WEST_BENGAL,1978,441.9936,5985.916,56.67400000000001,0.0,0.0,116.0105,2246.413,0.0,26.886,12.729999999999997,64.98500000000001,0.0,0.0,0.0,46.6065,0.0,0.0,0.0,0.0,653.5260000000001
MAHARASHTRA,1978,927.8,2210.1,112.69999999999999,4801.8,550.4999999999999,2579.5000000000005,0.0,486.7,189.6,6.4,148.2,436.29999999999995,0.0,45.800000000000004,0.0,236.70000000000005,389.40000000000003,0.0,0.0,0.0
TAMIL_NADU,1978,0.6,5608.799999999999,23.1,634.8,454.4,1861.3,0.0,1028.1999999999998,0.0,18.999999999999996,5.3999999999999995,77.932,0.0,46.5,0.0,97.44,213.60000000000002,0.0,0.0,0.0
ANDHRA_PRADESH,1978,12.8,6315.200000000001,357.9000000000001,1271.1000000000004,356.8,859.0899999999999,0.0,1154.22,0.0,157.45,15.739999999999997,67.234,0.0,20.150000000000002,0.0,59.08,385.31,0.0,0.0,0.0
KARNATAKA,1978,227.39999999999995,2054.5999999999995,429.09999999999997,1590.0000000000002,315.50000000000006,1119.69,0.0,601.6999999999999,0.0,29.43,67.8,181.318,0.0,42,0.0,92.53,585.23,0.0,0.0,0.0
GUJARAT,1978,1184.3,534.5,244.30000000000004,567.4000000000002,1550.9,328.69999999999993,0.0,1785.7,39.1,153.6,59.00000000000001,206.86499999999998,0.0,30.400000000000006,51.000000000000014,374.09999999999997,74.4,0.0,0.0,0.0
BIHAR,1978,2503,5485,979,0.0,0.0,356.90000000000003,1131,6.312,94,9.581000000000001,135,32.739,119.17800000000003,5.364,41.425,0.0,0.0,0.0,0.0,149.72921999999997
MADHYA_PRADESH,1978,3520.5,3491.1,596.6,1276.8999999999996,118.59999999999994,179.00000000000006,337.668,219.6,138.63099999999997,0.8999999999999999,1001.4,417.363,0.0,29.00000000000001,0.0,50.14000000000001,581.6,0.0,0.0,0.0
ORISSA,1978,113.015,4401.87,121.09100000000001,24.415999999999997,4.0489999999999995,280.97,61.157000000000004,191.75500000000002,0.0,9.646,23.384999999999998,36.02899999999999,209.435,79.965,68.419,7.316999999999998,0.0,0.0,0.0,79.01099999999998
PUNJAB,1978,7225,3032,644,2.91,93,521,1008,106,46,0.1,229,34.733000000000004,0.0,3.6000000000000005,51,149.77,40.9999988,0.0,0.0,0.0
