STATENAM,YEAR,YWHEAT,YRICE,YMAIZE,YJOWAR,YBAJRA,YSUGAR,YPOTATO,YGNUT,YBARLEY,YTOBAC,YGRAM,YTUR,YRAGI,YSESAMUM,YRMSEED,YCOTTON,YOPULS,YSOY,YSUNFLWR,YJUTE
MADHYA_PRADESH,1961,29.8710576,33.0194309,44.1467495,21.9953879,8.607166,117.9665314,503.2833334,28.2269152,34.5042713,27.8333334,23.1241339,35.2489299,0,6.5217738,0,1.6465347,17.2254652,0,0,0
RAJASTHAN,1961,27.2075597,10.7110417,18.0735816,6.059777,7.567443,35.234612,0,9.4271786,30.0244549,15.1587302,14.2848144,6.6023424,0,2.7546216,7.2883524,1.5122021,6.7638695,0,0,0
WEST_BENGAL,1961,11.7730114,16.1170068,8.57,0,0,75.6296444,132.8983781,0,6.5117486,7.33,6.6583389,0,0,0,4.2944532,0,0,0,0,20.4629408
TAMIL_NADU,1961,0,18.9946508,7.4444444,10.0450086,7.4574285,81.5847938,0,13.4084038,0,11.1375185,4.9386218,6.762278,0,3.9690192,0,1.7691975,3.3211374,0,0,0
GUJARAT,1961,15.6644745,15.2865228,18.1946808,4.8965312,7.1589793,73.8299495,0,13.0323238,7.4054055,7.3242314,6.3710378,9.9368122,0,3.3240739,2.0968283,2.3065142,4.9726736,0,0,0
UTTAR_PRADESH,1961,49.1376044,41.2282462,28.8195254,18.3480987,24.6762532,164.8896378,281.8191492,41.5734184,44.4571155,0,27.9745465,68.3192428,0,8.6655875,17.9713736,0,35.634146,0,0,46.1427402
ORISSA,1961,6.7954161,11.7641565,5.4671199,4.0157188,4.2841961,36.1639332,37.517585,10.0064143,0,9.708136,4.7141743,5.559074,4.8216348,4.1507287,4.5934901,5.4912802,0,0,0,14.5957868
BIHAR,1961,11.8677546,14.4870647,14.4954287,0,0,53.8566718,88.3577255,0,10.5888594,15.4241749,8.9528344,9.4468432,8.4091992,5.8098681,6.5205989,0,0,0,0,8.7131935
MAHARASHTRA,1961,10.6068284,21.1493247,0,12.1461672,4.0488176,100.1955359,0,13.997193,7.7511574,7.8666277,8.0280767,14.0514708,0,5.0290265,0,2.0143564,14.6306194,0,0,0
KARNATAKA,1961,3.5764148,27.1793623,3.7268041,7.9228188,3.1420641,134.302518,0,10.7877221,0,14.0920809,5.8990384,8.314695,0,0,0,1.4202107,6.6461011,0,0,0
