STATENAM,YEAR,QWHEAT,QRICE,QMAIZE,QJOWAR,QBAJRA,QSUGAR,QPOTATO,QGNUT,QBARLEY,QTOBAC,QGRAM,QTUR,QRAGI,QSESAMUM,QRMSEED,QCOTTON,QOPULS,QSOY,QSUNFLWR,QJUTE
UTTAR_PRADESH,1962,3035.113,3005.045,989.784,589.844,613.883,4320.148,798.354,264.306,1313.607,0,1547.279,762.109,0,11.249,58.438,0,1053.082,0,0,27.79542
ANDHRA_PRADESH,1962,4.6,3720.4,162.9,1402.4,349.9,713.08,0,656.58,0,122.06,26.68,67.234,0,48.1,0,21.29,262.64,0,0,0
KARNATAKA,1962,87.7,1511.8,10.5,1357.8,130.6,581.04,0,501.56,0,25.03,44.66,181.318,0,0,0,72.5,83.3,0,0,0
HARYANA,1962,793.342,126.423,97.54,48.026,248.933,452.141,62.791,7.89,75.188,1.119,844.338,27.958,0,0.763,147.836,26.75412,45.664,0,0,0
MAHARASHTRA,1962,455.6,1076.7,0,3059,541.6,995.2,0,717.8,148.9,14.8,163.4,436.3,0,26.6,0,227.4,326.5,0,0,0
GUJARAT,1962,279.8,400.2,284.4,448.8,538,107.6,0,1171.9,59.8,85.8,43.4,206.865,0,21.7,18.2,300.9,44.2,0,0,0
PUNJAB,1962,1888.471,267.227,316.958,4.172,81.443,348.528,180.553,69.551,55.294,0.902,652.304,34.733,0,6.38,56.997,139.59018,31.781,0,0,0
RAJASTHAN,1962,1089.1,99.9,769.4,418.3,956.5,79.9,0,120.7,524.6,3.4,766.5,7.411,0,81.9,132.3,28.4,9.8,0,0,0
MADHYA_PRADESH,1963,1916.6,3303.7,602.7,1326.1,141.2,129.4,337.668,290.94,138.631,2,801.9,417.363,0,53.11,0,73.43,430.29,0,0,0
WEST_BENGAL,1963,32.4424373,5335.875277,35.199,0,0,153.0342,535.0297521,0,23.501,10.971,89.024,0,0,0,28.203,0,0,0,0,593.2971
PUNJAB,1963,1933.854,276.301,516,4.128,68.075,373.969,160.333,90.569,48.923,0.765,494.961,34.733,0,4.714,26.564,158.6484,28.545,0,0,0
RAJASTHAN,1963,871.3,129.2,609.6,272.6,820.8,55.1,0,94.8,444.1,3.8,542.2,7.411,0,29.4,43.5,33,9.2,0,0,0
ANDHRA_PRADESH,1963,5.2,3769.8,162.6,1392,332.1,883.84,0,748.57,0,157.51,25.69,67.234,0,38.48,0,22.67,278.15,0,0,0
UTTAR_PRADESH,1963,2579.715,3193.881,759.373,499.408,535.254,4754.745,534.588,267.339,1085.045,0,1423.741,762.109,0,15.203,48.068,0,699.499,0,0,25.56108
