STATENAM,YEAR,avg(PRICE),avg(PMAIZE),avg(PJOWAR),avg(PBAJRA),avg(PSUGAR),avg(PPOTATO),avg(PGNUT),avg(PGNUT),avg(PBARLEY),avg(PTOBAC),avg(PGRAM),avg(PTUR),avg(PRAGI),avg(PSESAMUM),avg(PRMSEED),avg(PCOTTON),avg(POPULS),avg(PSOY),avg(PSUNFLWR),avg(PJUTE)
HARYANA,1960,28.888333333333332,30.14083333333333,29.586666666666662,36.446666666666665,42.058762833333326,20.978034,52.13434900000001,52.13434900000001,30.092333333333332,165.354,34.62466666666666,34.62466666666666,36.446666666666665,77.37649999999998,68.06383333333333,91.78166666666668,34.62466666666666,0.0,0.0,0.0
RAJASTHAN,1960,30.765384615384615,12.792307692307691,13.46923076923077,15.596153846153848,48.782800461538464,30.248634000000013,63.05182034615385,63.05182034615385,35.234083153846164,209.61971134615385,37.00444307692308,37.00444307692308,15.596153846153848,97.3595046923077,81.66533296153844,171.67238323076919,26.071078038461543,0.0,0.0,0.0
ANDHRA_PRADESH,1960,58.2578947368421,32.357894736842105,34.268421052631574,36.400000000000006,32.07000000000001,30.248634000000003,58.55578947368421,58.55578947368421,26.149395000000016,205.83,40.31684210526316,40.31684210526316,36.400000000000006,96.71421052631577,71.45536,113.5531578947368,38.81407921052632,0.0,0.0,0.0
WEST_BENGAL,1960,51.71363,30.980791000000007,0.0,0.0,49.4722,23.196568000000003,0.0,0.0,27.9509,293.08038,36.43439999999999,0.0,0.0,0.0,80.6379,0.0,0.0,0.0,0.0,97.25399999999996
MADHYA_PRADESH,1960,40.920930232558156,27.493023255813956,29.58837209302326,35.31162790697677,48.90720930232556,42.06408699999998,48.89441860465115,48.89441860465115,26.149395000000013,314.377906976744,35.733255813953484,35.733255813953484,35.31162790697677,81.3158139534884,71.45535999999996,95.08069767441866,39.40190262790699,0.0,0.0,0.0
GUJARAT,1960,44.49444444444444,39.72777777777778,39.76111111111111,44.95555555555556,33.32222222222222,21.996570000000006,60.538888888888906,60.538888888888906,28.405555555555555,111.73333333333333,43.355555555555554,43.355555555555554,44.95555555555556,99.9111111111111,91.79999999999997,108.63333333333335,75.60555555555555,0.0,0.0,0.0
TAMIL_NADU,1960,56.73333333333334,35.041666666666664,35.12500000000001,34.96666666666666,41.36666666666667,39.67955999999999,51.78416666666666,51.78416666666666,26.14939500000001,190.4466666666667,44.10083333333333,44.10083333333333,34.96666666666666,90.7425,71.45536000000001,109.14,39.16742766666667,0.0,0.0,0.0
MAHARASHTRA,1960,38.94,34.57999999999999,34.751999999999995,40.612,40.724000000000004,33.865609999999975,59.807999999999986,59.807999999999986,37.751999999999995,219.53199999999993,44.724000000000004,44.724000000000004,40.612,98.10399999999998,88.92401999999998,103.71199999999999,63.01999999999999,0.0,0.0,0.0
KARNATAKA,1960,72.44736842105264,31.08421052631579,38.76842105263159,36.21052631578946,50.10526315789474,39.250885000000004,59.584210526315786,59.584210526315786,26.149395000000016,263.98263157894735,51.07210526315788,51.07210526315788,36.21052631578946,90.15646999999996,74.37573999999998,96.83736842105263,52.396842105263154,0.0,0.0,0.0
BIHAR,1960,33.52882352941177,32.05782352941178,0.0,0.0,42.01882352941177,19.5725294117647,50.52999999999999,50.52999999999999,32.45799999999999,363.57435294117636,40.439235294117644,39.66329411764706,27.966470588235296,90.3564705882353,79.78794117647058,0.0,39.66329411764706,0.0,0.0,70.20941176470589
HARYANA,1961,36.471666666666664,31.1815,31.093333333333334,36.83833333333333,44.84181233333333,31.980775166666664,53.39587866666667,53.39587866666667,31.905333333333335,168.85466666666667,38.13466666666667,38.13466666666667,36.83833333333333,85.49466666666666,74.782,90.91666666666667,38.13466666666667,0.0,0.0,0.0
PUNJAB,1961,37.20799999999999,32.9041,38.428999999999995,35.063,44.595000000000006,30.0022,47.2020136,47.2020136,28.541999999999994,187.085164,37.3273,37.3273,35.063,86.9147,70.85189999999999,75.154,37.3273,0.0,0.0,0.0
ANDHRA_PRADESH,1961,59.721052631578935,29.331578947368417,37.23684210526316,37.868421052631575,29.589473684210528,35.178436,54.876842105263165,54.876842105263165,26.71203600000001,207.20421052631573,44.34105263157893,44.34105263157893,37.868421052631575,88.35894736842106,69.17801,93.86368421052629,40.63608005263158,0.0,0.0,0.0
MADHYA_PRADESH,1961,39.98372093023256,25.57906976744186,31.646511627906982,36.71395348837207,45.85511627906976,58.99688999999994,48.93976744186044,48.93976744186044,26.712035999999998,265.60069767441865,37.41279069767443,37.41279069767443,36.71395348837207,86.6655813953488,69.17801000000004,103.98116279069762,41.66160174418606,0.0,0.0,0.0
RAJASTHAN,1961,29.253846153846155,12.269230769230766,12.930769230769231,15.011538461538464,49.389751499999996,35.178436000000005,67.07171365384615,67.07171365384615,33.58738000000001,243.84599269230768,37.931873423076915,37.931873423076915,15.011538461538464,100.08408726923076,87.4731043076923,171.2859521153846,30.95554115384616,0.0,0.0,0.0
WEST_BENGAL,1961,57.15200000000001,34.098579999999984,0.0,0.0,50.87599600000001,30.161967999999998,0.0,0.0,34.751988,378.4376499999999,42.571096000000004,0.0,0.0,0.0,78.782246,0.0,0.0,0.0,0.0,82.452
